エリア,都道府県,市区町村,災害,MAP
北海道・東北,北海道,愛別町,すべての災害,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&page=1
北海道・東北,北海道,愛別町,地震,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&kind=1&page=1
北海道・東北,北海道,愛別町,津波,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&kind=2&page=1
北海道・東北,北海道,愛別町,洪水,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&kind=3&page=1
北海道・東北,北海道,愛別町,土砂災害,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&kind=4&page=1
北海道・東北,北海道,愛別町,内水氾濫,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&kind=5&page=1
北海道・東北,北海道,愛別町,高潮,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&kind=6&page=1
北海道・東北,北海道,愛別町,火災,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&kind=7&page=1
北海道・東北,北海道,愛別町,火山噴火,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01456&kind=8&page=1
北海道・東北,北海道,赤井川村,すべての災害,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&page=1
北海道・東北,北海道,赤井川村,地震,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&kind=1&page=1
北海道・東北,北海道,赤井川村,津波,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&kind=2&page=1
北海道・東北,北海道,赤井川村,洪水,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&kind=3&page=1
北海道・東北,北海道,赤井川村,土砂災害,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&kind=4&page=1
北海道・東北,北海道,赤井川村,内水氾濫,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&kind=5&page=1
北海道・東北,北海道,赤井川村,高潮,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&kind=6&page=1
北海道・東北,北海道,赤井川村,火災,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&kind=7&page=1
北海道・東北,北海道,赤井川村,火山噴火,https://crisis.yahoo.co.jp/map/result/?z=13&jis=01409&kind=8&page=1
